date,class,title,subtitle,author,year,pages
01/03/2021,4,Because Internet,Understanding the New Rules of Language,Gretchen McCulloch,2019,336
01/05/2021,8,The Hobbit,,J. R. R. Tolkien,1937,368
01/05/2021,8,The Lord of the Rings,,J. R. R. Tolkien,1955,1178
01/08/2021,4,The Language Lover’s Puzzle Book,Lexical perplexities and cracking conundrums from across the globe,Alex Bellos,2020,416
04/09/2021,3,"Guns, Germs and Steel","A short history of everybody for the last 13,000 years",Jared Diamond,1997,592
15/10/2021,5,"Godel, Escher, Bach",An Eternal Golden Braid,Douglas Hofstadter,1979,777
13/11/2021,4,Riddle of the Labyrinth,The Quest to Crack an Ancient Code and the Uncovering of a Lost Civilisation,Margalit Fox,2013,384
27/11/2021,4,Word by Word,The Secret Life of Dictionaries,Kory Stamper,2017,336
20/12/2021,5,How to Make the World Add Up,Ten Rules for Thinking Differently About Numbers,Tim Hartford,2020,352
25/12/2021,5,A Brief History of Time,From the Big Bang to Black Holes,Stephen Hawking,1988,272
27/12/2021,3,Why Nations Fail,"The Origins of Power, Prosperity and Poverty",Daron Acemoglu and James A. Robinson,2012,560
12/01/2022,4,Latin Alive,The Survival of Latin in English and the Romance Languages,Joseph B. Solodow,2010,368
21/01/2022,3,The World for Sale,"Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas and Jack Farchy,2021,416
25/01/2022,4,The Atoms Of Language,The Mind's Hidden Rules Of Grammar,Mark C. Baker,2001,291
27/01/2022,4,The Prodigal Tongue,The Love-Hate Relationship Between British and American English,Lynne Murphy,2018,368
11/02/2022,0,The Information,"A History, a Theory, a Flood",James Gleick,2011,544
18/02/2022,8,Crime and Punishment,,Fyodor Dostoyevsky (translated by Constance Garnett),1866,528
22/02/2022,1,The Pig That Wants To Be Eaten,And 99 Other Thought Experiments,Julian Baggini,2005,256
10/03/2022,5,Things to Make and Do in the Fourth Dimension,"A Mathematician's Journey Through Narcissistic Numbers, Optimal Dating Algorithms, at Least Two Kinds of Infinity, and More",Matt Parker,2014,480
12/03/2022,8,Flowers for Algernon,,Daniel Keyes,1966,224
22/03/2022,3,Moneyland,Why Thieves And Crooks Now Rule The World And How To Take It Back,Oliver Bullough,2018,336
23/03/2022,4,Metaphors We Live By,,George Lakoff and Mark Johnson,1980,292
03/04/2022,4,Is That a Fish in Your Ear?,Translation and the Meaning of Everything,David Bellos,2011,400
14/04/2022,3,Crashed,How a Decade of Financial Crises Changed the World,Adam Tooze,2018,720
21/04/2022,1,Think,A Compelling Introduction to Philosophy,Simon Blackburn,1999,320
29/04/2022,1,At The Existentialist Café,"Freedom, Being, and Apricot Cocktails",Sarah Bakewell,2016,448
12/05/2022,3,Capitalism in America,A History,Alan Greenspan and Adrian Wooldridge,2018,496
23/05/2022,7,The 99% Invisible City,A Field Guide to the Hidden World of Everyday Design,Roman Mars and Kurt Kohlstedt,2020,400
28/05/2022,4,Sounds Interesting,Observations on English and General Phonetics,J. C. Wells,2014,220
31/05/2022,4,Sounds Fascinating,Further Observations on English Phonetics and Phonology,J. C. Wells,2016,284
03/06/2022,4,English After RP,Standard British Pronunciation Today,Geoff Lindsey,2019,169
06/06/2022,3,Triumph of the City,"How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier, and Happier",Edward Glaeser,2011,352
10/06/2022,8,East of Eden,,John Steinbeck,1952,720
18/06/2022,9,The Shortest History of Europe,,John Hirst,2009,240
21/06/2022,3,Economics Rules,"Why Economics Works, When It Fails, and How To Tell The Difference",Dani Rodrik,2015,268
22/06/2022,8,And Then There Were None,,Agatha Christie,1939,116
