name,subregion_id,area,population
Carlow-Kilkenny,2,2891.441249,156164
Cavan-Monaghan,3,3520.046034,141535
Clare,1,3393.871987,118817
Cork East,1,1577.867484,121429
Cork North-Central,1,614.506626,125164
Cork North-West,1,2469.623664,89080
Cork South-Central,1,186.651229,121893
Cork South-West,1,2233.714424,85302
Donegal,3,5059.680848,150657
Dublin Bay North,0,47.341989,147879
Dublin Bay South,0,23.217793,121176
Dublin Central,0,18.077869,113765
Dublin Fingal,0,373.938222,162927
Dublin Mid-West,0,104.696110,117986
Dublin North-West,0,23.531886,78391
Dublin Rathdown,0,68.337592,94472
Dublin South-Central,0,26.783795,135621
Dublin South-West,0,113.077726,150902
Dublin West,0,76.472952,124638
Dún Laoghaire,0,58.598360,123546
Galway East,3,2590.728322,89548
Galway West,3,2621.487823,143954
Kerry,1,4576.625626,147707
Kildare North,2,511.182133,119548
Kildare South,2,1259.406256,114810
Laois-Offaly,2,3629.157312,150804
Limerick City,1,381.480596,113421
Limerick County,1,2359.899638,85853
Longford-Westmeath,2,2672.571173,121174
Louth,2,941.382446,150924
Mayo,3,5545.765324,125935
Meath East,2,1061.337365,87169
Meath West,2,1397.778932,90331
Roscommon-Galway,3,3526.596236,85866
Sligo-Leitrim,3,4118.929270,113920
Tipperary,1,4125.693668,155178
Waterford,1,1774.104812,116176
Wexford,2,2291.951498,149722
Wicklow,2,2005.443732,142425
