name,population,region,months,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
Aguascalientes,1425607,11,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12982,22045,29042,34952,41730,49408,59064,72277,94320,167199,,,,,,,,,,
Baja California,3769020,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14718,25046,32290,39386,46576,54469,64935,79562,103540,217679,,,,,,,,,,
Baja California Sur,798447,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13475,24134,31074,37900,45110,53303,64342,79186,102860,191229,,,,,,,,,,
Campeche,928363,16,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8803,15090,19895,24414,29862,36430,44525,57542,79779,156414,,,,,,,,,,
Chiapas,5543828,15,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6858,10187,12986,15859,19198,22744,27637,34175,46596,95435,,,,,,,,,,
Chihuahua,3741869,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11725,20767,27026,33225,39763,46935,56558,69886,92073,204669,,,,,,,,,,
Ciudad de México,9209944,13,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15109,23734,30223,37794,46819,56041,68049,83984,110229,201586,,,,,,,,,,
Coahuila,3146771,10,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12680,20583,26658,32958,39699,47445,56578,69136,90127,160838,,,,,,,,,,
Colima,731391,12,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13031,21392,27831,33878,40873,49196,58407,69851,87525,160984,,,,,,,,,,
Durango,1832650,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10804,17454,22337,27846,33346,39299,46892,57446,74762,173426,,,,,,,,,,
Guanajuato,6166934,11,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11191,18626,24274,29492,35050,41442,49277,60378,78787,135360,,,,,,,,,,
Guerrero,3540685,15,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7123,11331,14477,17712,21301,26008,31907,40329,54233,100735,,,,,,,,,,
Hidalgo,3082841,14,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9564,15380,20064,24199,28392,33770,40361,49197,65166,114809,,,,,,,,,,
Jalisco,8348151,12,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,15011,22630,28568,34264,40317,47148,55890,67898,87085,158651,,,,,,,,,,
México,16992418,13,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10628,18025,23443,28054,33384,38880,46230,57094,74555,165904,,,,,,,,,,
Michoacán,4748846,12,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11134,17646,22565,27807,32873,38671,46413,56625,72502,137868,,,,,,,,,,
Morelos,1971520,13,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9314,15379,19946,24509,29271,34870,41819,51170,66332,127795,,,,,,,,,,
Nayarit,1235456,12,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11306,19266,25383,30877,37480,44179,52636,63667,82215,152628,,,,,,,,,,
Nuevo León,5784442,10,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14235,24169,31319,38088,45462,54165,64796,81476,110050,265540,,,,,,,,,,
Oaxaca,4132148,15,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7224,11682,15372,19318,23559,28688,35540,45313,59882,116050,,,,,,,,,,
Puebla,6583278,14,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8597,13979,18089,22358,26693,31395,37907,46568,61859,128718,,,,,,,,,,
Querétaro,2368467,11,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13879,22938,29192,35479,42637,50800,61160,74018,96032,178211,,,,,,,,,,
Quintana Roo,1857985,16,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8663,15747,21025,26444,32033,38716,46307,55660,73480,145722,,,,,,,,,,
San Luis Potosí,2822255,11,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8481,14991,20531,26266,32484,39502,48108,59994,79758,148070,,,,,,,,,,
Sinaloa,3026943,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13917,21971,27741,33424,39391,46987,55592,68060,87086,164171,,,,,,,,,,
Sonora,2944840,9,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12350,20632,26731,33229,40117,48039,59018,74539,99207,199715,,,,,,,,,,
Tabasco,2402598,16,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8665,14112,18122,22158,26508,32286,40028,50077,69447,135249,,,,,,,,,,
Tamaulipas,3527735,10,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10771,17867,23094,28431,34284,40807,48630,58787,76537,157667,,,,,,,,,,
Tlaxcala,1342977,14,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9423,14575,18535,22246,26505,31063,37216,47256,61279,111070,,,,,,,,,,
Veracruz,8062579,14,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8021,12891,16615,20537,24390,29117,34923,42623,56778,105366,,,,,,,,,,
Yucatán,2320898,16,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8662,14807,19853,24709,29853,35567,42717,53136,73832,164512,,,,,,,,,,
Zacatecas,1622138,11,3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9611,15303,19414,23643,28477,34114,40835,51359,68111,153184,,,,,,,,,,
Alabama,5024279,5,12,0.08145022913,0.05462389912,0.1091950994,0.1033223439,0.1340947609,0.1776666653,0.1120545369,0.1342428446,0.05019192907,0.04315769171,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Alaska,733391,8,12,0.04104695102,0.03243470434,0.06580121253,0.06948084647,0.1073834551,0.1812735181,0.1342709527,0.1820149961,0.09356500224,0.09272836133,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Arizona,7151502,7,12,0.05881051107,0.03504739479,0.08241522655,0.08566188131,0.1365467352,0.1878611061,0.132867942,0.1531338831,0.06206278289,0.06559253696,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Arkansas,3011524,6,12,0.07140481607,0.05990648367,0.1207075685,0.1152755088,0.1412490214,0.1830847327,0.1147289513,0.1160128458,0.03917597003,0.03845410163,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
California,39538223,8,12,0.04572813554,0.03726331756,0.0662220254,0.06823861273,0.09930313205,0.1532222571,0.1250443746,0.1736358908,0.09433371184,0.1370085423,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Colorado,5773714,7,12,0.04574509542,0.02925771206,0.06239041333,0.06730025417,0.1054868612,0.1749637489,0.1379131074,0.1835289022,0.09085979483,0.1025541105,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Connecticut,3605944,0,12,0.05326590985,0.03554110398,0.07229702156,0.06785383897,0.09911586548,0.1514152978,0.1225792679,0.1701370786,0.0955229798,0.1322716361,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Delaware,989948,4,12,0.05405340754,0.03615520985,0.07056684714,0.07212702564,0.119296511,0.1831442248,0.1360943443,0.1701604565,0.0846562956,0.07374567761,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
District of Columbia,689545,4,12,0.08049867956,0.03338134925,0.04911342045,0.04566999348,0.08510820729,0.1211853071,0.109788387,0.1622937888,0.106204342,0.206756525,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Florida,21538187,4,12,0.05996244292,0.04047493041,0.0904966106,0.09579270088,0.1357596519,0.1868451037,0.1282434284,0.1396978838,0.05568243798,0.06704480945,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Georgia,10711908,4,12,0.06152909352,0.04250017001,0.08815837355,0.08932716002,0.1239450943,0.1828508423,0.1273966871,0.1480182541,0.063148731,0.07312559406,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
Hawaii,1455271,8,12,0.05016989076,0.02630136751,0.05900721901,0.06361071053,0.08657229008,0.1682595492,0.1348595204,0.1994545443,0.102899426,0.1088654822,,,,,,,,,,,10000,15000,25000,35000,50000,75000,100000,150000,200000,
